seq,timestampIso,epochMs,msSinceSessionStart,msSinceTrialStart,participantId,condition,block,trial,task,variant,scenario,attempt,source,category,recordType,eventType,detail,value,target,posX,posY,posZ,yaw,taskOrder,startTime,endTime,durationMs,completionStatus,attempts,injects,attribution,correctAttribution,attributionCorrect,perceivedReparability,reparabilityCorrect,noticedFeedback,firstRepairStrategy,repairSequence,wastedRepairs,repairContainsSlot,preInjectHadSlot,msToFirstRepair,maxUtteranceSimilarity,utteranceSimilarities,missingSlot,conditionOrder,plan,questionnaire,answers,objectId,objectShape,color,prevColor,fromX,fromY,fromZ,lifetimeMs,itemId,itemRaw,itemScore,itemReversed,scaleName,scaleScore,instrument
10,2026-08-06T14:43:40.030Z,1786027420030,480,,EXAMPLE,A,1,,task1,,,0,system,scene,event,object-spawned,cube (scene baseline),baseline,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj2,cube,#cccccc,,,,,,,,,,,,
11,2026-08-06T14:43:40.030Z,1786027420030,480,,EXAMPLE,A,1,,task1,,,0,system,scene,event,object-spawned,campfire (scene baseline),baseline,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj3,campfire,#ff7a1a,,,,,,,,,,,,
12,2026-08-06T14:43:40.031Z,1786027420031,481,1,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,trial,event,trial-start,task1/v1/user_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-08-06T14:43:40.326Z,1786027420326,776,296,EXAMPLE,A,1,1,task1,v1,user_error,0,system,other,event,transcript,put a red bench next to the campfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-08-06T14:43:40.674Z,1786027420674,1124,643,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,outcome,event,inject,error/user_error,noop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-08-06T14:43:40.674Z,1786027420674,1124,644,EXAMPLE,A,1,1,task1,v1,user_error,0,system,feedback,event,feedback-shown,"The ball was not created. No hand height was given, so there was nothing to trigger on.",A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-08-06T14:43:40.952Z,1786027420952,1402,922,EXAMPLE,A,1,1,task1,v1,user_error,0,system,other,event,transcript,put a red bench next to the campfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-08-06T14:43:41.258Z,1786027421258,1708,1228,EXAMPLE,A,1,1,task1,v1,user_error,0,system,other,event,transcript,add a red bench by the fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2026-08-06T14:43:41.557Z,1786027421557,2007,1527,EXAMPLE,A,1,1,task1,v1,user_error,0,system,other,event,transcript,can you put a bench there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2026-08-06T14:43:41.850Z,1786027421850,2300,1820,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,measure,event,manipulation-check,noticed=yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2026-08-06T14:43:41.884Z,1786027421884,2334,1853,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,measure,event,repair-strategy,1:verbatim,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2026-08-06T14:43:41.916Z,1786027421916,2366,1886,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,measure,event,repair-strategy,2:verbatim,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2026-08-06T14:43:41.948Z,1786027421948,2398,1918,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,measure,event,repair-strategy,3:detail,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2026-08-06T14:43:41.982Z,1786027421982,2432,1952,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,measure,event,repair-strategy,4:gaveup,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2026-08-06T14:43:42.016Z,1786027422016,2466,1985,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,measure,event,attribution,participant=self correct=self match=true,1,self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2026-08-06T14:43:42.049Z,1786027422049,2499,2019,EXAMPLE,A,1,1,task1,v1,user_error,0,participant,measure,event,perceived-reparability,believes rewording would have worked=yes (actually yes for this scenario),1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2026-08-06T14:43:42.380Z,1786027422380,2830,2349,EXAMPLE,A,1,1,task1,v1,user_error,,system,trial,trial-summary,,,,,,,,,1-3-6-2-5-4,2026-08-06T14:43:40.031Z,2026-08-06T14:43:42.379Z,2349,abandoned,0,1,self,self,yes,yes,yes,yes,verbatim,verbatim|verbatim|detail|gaveup,2,,no,,,,hand height,,,,,,,,,,,,,,,,,,,
27,2026-08-06T14:43:42.381Z,1786027422381,2831,2349,EXAMPLE,A,1,1,task1,v1,user_error,0,wizard,trial,event,trial-end,abandoned,abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2026-08-06T14:43:42.383Z,1786027422383,2833,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj1,sphere,#cccccc,,,,,2355,,,,,,,
29,2026-08-06T14:43:42.383Z,1786027422383,2833,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-destroyed,cube (scene-reset),scene-reset,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj2,cube,#cccccc,,,,,2354,,,,,,,
30,2026-08-06T14:43:42.383Z,1786027422383,2833,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-destroyed,campfire (scene-reset),scene-reset,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj3,campfire,#ff7a1a,,,,,2353,,,,,,,
31,2026-08-06T14:43:42.384Z,1786027422384,2834,,EXAMPLE,A,2,1,task3,v1,user_error,0,wizard,scene,event,reset,clear-scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2026-08-06T14:43:42.384Z,1786027422384,2834,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-spawned,sphere (scene baseline),baseline,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj4,sphere,#cccccc,,,,,,,,,,,,
33,2026-08-06T14:43:42.385Z,1786027422385,2835,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-spawned,cube (scene baseline),baseline,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj5,cube,#cccccc,,,,,,,,,,,,
34,2026-08-06T14:43:42.385Z,1786027422385,2835,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-spawned,campfire (scene baseline),baseline,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj6,campfire,#ff7a1a,,,,,,,,,,,,
35,2026-08-06T14:43:42.385Z,1786027422385,2835,,EXAMPLE,A,2,,,,,,wizard,session,session-start,,,,,,,,,1-3-6-2-5-4,,,,,,,,,,,,,,,,,,,,,,A,A:task1:v1 A:task3:v2 A:task6:v3 A:task2:v1 A:task5:v2 A:task4:v3,,,,,,,,,,,,,,,,,
36,2026-08-06T14:43:42.386Z,1786027422386,2836,,EXAMPLE,A,2,1,task3,v1,user_error,0,wizard,session,event,task-advance,task 2 of 6 → task3/v2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2026-08-06T14:43:42.825Z,1786027422825,3275,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj4,sphere,#cccccc,,,,,441,,,,,,,
38,2026-08-06T14:43:42.826Z,1786027422826,3276,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-destroyed,cube (scene-reset),scene-reset,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj5,cube,#cccccc,,,,,440,,,,,,,
39,2026-08-06T14:43:42.826Z,1786027422826,3276,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-destroyed,campfire (scene-reset),scene-reset,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj6,campfire,#ff7a1a,,,,,440,,,,,,,
40,2026-08-06T14:43:42.827Z,1786027422827,3277,,EXAMPLE,A,2,1,task3,v1,user_error,0,wizard,scene,event,reset,clear-scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2026-08-06T14:43:42.827Z,1786027422827,3277,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-spawned,sphere (scene baseline),baseline,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj7,sphere,#cccccc,,,,,,,,,,,,
42,2026-08-06T14:43:42.828Z,1786027422828,3278,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-spawned,cube (scene baseline),baseline,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj8,cube,#cccccc,,,,,,,,,,,,
43,2026-08-06T14:43:42.828Z,1786027422828,3278,,EXAMPLE,A,2,1,task3,v1,user_error,0,system,scene,event,object-spawned,campfire (scene baseline),baseline,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj9,campfire,#ff7a1a,,,,,,,,,,,,
44,2026-08-06T14:43:42.828Z,1786027422828,3278,0,EXAMPLE,A,2,2,task3,v2,system_limit,0,wizard,trial,event,trial-start,task3/v2/system_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2026-08-06T14:43:43.114Z,1786027423114,3564,286,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,other,event,transcript,make the cube blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2026-08-06T14:43:43.393Z,1786027423393,3843,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,wizard,outcome,event,inject,error/system_limit,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sphere,,,,,,,,,,,,,
47,2026-08-06T14:43:43.394Z,1786027423394,3844,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj10,sphere,,,,,,,,,,,,,
48,2026-08-06T14:43:43.394Z,1786027423394,3844,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj11,sphere,,,,,,,,,,,,,
49,2026-08-06T14:43:43.395Z,1786027423395,3845,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj12,sphere,,,,,,,,,,,,,
50,2026-08-06T14:43:43.395Z,1786027423395,3845,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj13,sphere,,,,,,,,,,,,,
51,2026-08-06T14:43:43.395Z,1786027423395,3845,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj14,sphere,,,,,,,,,,,,,
52,2026-08-06T14:43:43.396Z,1786027423396,3846,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj15,sphere,,,,,,,,,,,,,
53,2026-08-06T14:43:43.396Z,1786027423396,3846,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj16,sphere,,,,,,,,,,,,,
54,2026-08-06T14:43:43.397Z,1786027423397,3847,564,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj17,sphere,,,,,,,,,,,,,
55,2026-08-06T14:43:43.397Z,1786027423397,3847,569,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,feedback,event,feedback-shown,10000 balls is beyond what this system can render. I created 8 instead. A few dozen is the practical limit here.,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2026-08-06T14:43:43.716Z,1786027423716,4166,888,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,other,event,transcript,change the colour of the cube to blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2026-08-06T14:43:44.028Z,1786027424028,4478,1200,EXAMPLE,A,2,2,task3,v2,system_limit,0,wizard,measure,event,manipulation-check,noticed=yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2026-08-06T14:43:44.058Z,1786027424058,4508,1230,EXAMPLE,A,2,2,task3,v2,system_limit,0,wizard,measure,event,repair-strategy,1:scope,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2026-08-06T14:43:44.087Z,1786027424087,4537,1259,EXAMPLE,A,2,2,task3,v2,system_limit,0,wizard,measure,event,attribution,participant=system correct=system match=true,1,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2026-08-06T14:43:44.117Z,1786027424117,4567,1289,EXAMPLE,A,2,2,task3,v2,system_limit,0,participant,measure,event,perceived-reparability,believes rewording would have worked=no (actually no for this scenario),1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2026-08-06T14:43:44.450Z,1786027424450,4900,1622,EXAMPLE,A,2,2,task3,v2,,0,wizard,outcome,event,inject,success,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sphere,,,,,,,,,,,,,
62,2026-08-06T14:43:44.451Z,1786027424451,4901,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj18,sphere,,,,,,,,,,,,,
63,2026-08-06T14:43:44.451Z,1786027424451,4901,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj19,sphere,,,,,,,,,,,,,
64,2026-08-06T14:43:44.452Z,1786027424452,4902,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj20,sphere,,,,,,,,,,,,,
65,2026-08-06T14:43:44.452Z,1786027424452,4902,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj21,sphere,,,,,,,,,,,,,
66,2026-08-06T14:43:44.453Z,1786027424453,4903,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj22,sphere,,,,,,,,,,,,,
67,2026-08-06T14:43:44.453Z,1786027424453,4903,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj23,sphere,,,,,,,,,,,,,
68,2026-08-06T14:43:44.454Z,1786027424454,4904,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj24,sphere,,,,,,,,,,,,,
69,2026-08-06T14:43:44.454Z,1786027424454,4904,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj25,sphere,,,,,,,,,,,,,
70,2026-08-06T14:43:44.454Z,1786027424454,4904,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj26,sphere,,,,,,,,,,,,,
71,2026-08-06T14:43:44.455Z,1786027424455,4905,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj27,sphere,,,,,,,,,,,,,
72,2026-08-06T14:43:44.456Z,1786027424456,4906,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj28,sphere,,,,,,,,,,,,,
73,2026-08-06T14:43:44.456Z,1786027424456,4906,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj29,sphere,,,,,,,,,,,,,
74,2026-08-06T14:43:44.457Z,1786027424457,4907,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj30,sphere,,,,,,,,,,,,,
75,2026-08-06T14:43:44.457Z,1786027424457,4907,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj31,sphere,,,,,,,,,,,,,
76,2026-08-06T14:43:44.457Z,1786027424457,4907,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj32,sphere,,,,,,,,,,,,,
77,2026-08-06T14:43:44.458Z,1786027424458,4908,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj33,sphere,,,,,,,,,,,,,
78,2026-08-06T14:43:44.459Z,1786027424459,4909,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj34,sphere,,,,,,,,,,,,,
79,2026-08-06T14:43:44.459Z,1786027424459,4909,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj35,sphere,,,,,,,,,,,,,
80,2026-08-06T14:43:44.459Z,1786027424459,4909,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj36,sphere,,,,,,,,,,,,,
81,2026-08-06T14:43:44.460Z,1786027424460,4910,1622,EXAMPLE,A,2,2,task3,v2,system_limit,0,system,scene,event,object-spawned,sphere at floor,floor,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj37,sphere,,,,,,,,,,,,,
82,2026-08-06T14:43:44.460Z,1786027424460,4910,1632,EXAMPLE,A,2,2,task3,v2,,0,system,feedback,event,feedback-shown,(silent — correct outcome),A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2026-08-06T14:43:44.716Z,1786027424716,5166,1888,EXAMPLE,A,2,2,task3,v2,system_limit,,system,trial,trial-summary,,,,,,,,,1-3-6-2-5-4,2026-08-06T14:43:42.828Z,2026-08-06T14:43:44.716Z,1888,completed,0,2,system,system,yes,no,yes,yes,scope,scope,0,,no,,,,a smaller number,,,,,,,,,,,,,,,,,,,
84,2026-08-06T14:43:44.717Z,1786027424717,5167,1888,EXAMPLE,A,2,2,task3,v2,system_limit,0,wizard,trial,event,trial-end,completed,completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2026-08-06T14:43:44.718Z,1786027424718,5168,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj7,sphere,#cccccc,,,,,1891,,,,,,,
86,2026-08-06T14:43:44.719Z,1786027424719,5169,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,cube (scene-reset),scene-reset,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj8,cube,#cccccc,,,,,1890,,,,,,,
87,2026-08-06T14:43:44.719Z,1786027424719,5169,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,campfire (scene-reset),scene-reset,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj9,campfire,#ff7a1a,,,,,1890,,,,,,,
88,2026-08-06T14:43:44.719Z,1786027424719,5169,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj10,sphere,,,,,,1324,,,,,,,
89,2026-08-06T14:43:44.720Z,1786027424720,5170,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj11,sphere,,,,,,1324,,,,,,,
90,2026-08-06T14:43:44.720Z,1786027424720,5170,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj12,sphere,,,,,,1323,,,,,,,
91,2026-08-06T14:43:44.720Z,1786027424720,5170,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj13,sphere,,,,,,1323,,,,,,,
92,2026-08-06T14:43:44.721Z,1786027424721,5171,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj14,sphere,,,,,,1323,,,,,,,
93,2026-08-06T14:43:44.723Z,1786027424723,5173,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj15,sphere,,,,,,1322,,,,,,,
